UniqueCode,COUNTY.WEEK,WEEK,County,CountyGeolocation,Country,CountryGeolocation,Population_Estimate,Population_Density,Home,Parks,Work,Retail,Grocery,Transit,SPECIES,SPP.2020.OBSERVATION.COUNT,SPP.2019.OBSERVATION.COUNT,SPP.DIFF.COUNT,SPP.DIFF.DURATION,SPP.DIFF.DISTANCE,2020.DURATION.MINUTES,2020.EFFORT.DISTANCE.KM,2019.DURATION.MINUTES,2019.EFFORT.DISTANCE.KM
Aberdeen 1BlueTit,Aberdeen 1,1,Aberdeen,"57.14548, -2.10272",Scotland,"56.68894, -4.0425997",227560,1225,-0.142857143,5,1.428571429,2.142857143,3.571428571,5.142857143,BlueTit,6.666666667,5.25,1.42,-60.25,-2.55,24.75,1.075833333,85,3.62125
Aberdeen 2BlueTit,Aberdeen 2,2,Aberdeen,"57.14548, -2.10272",Scotland,"56.68894, -4.0425997",227560,1225,0.857142857,-3.428571429,-0.428571429,-2.142857143,6,-2.285714286,BlueTit,3.6,7.666666667,-4.07,-82.47,-2.69,14.2,1.069,96.66666667,3.755333333
Aberdeen 3BlueTit,Aberdeen 3,3,Aberdeen,"57.14548, -2.10272",Scotland,"56.68894, -4.0425997",227560,1225,8.285714286,-10,-19.85714286,-25.14285714,12.28571429,-26.14285714,BlueTit,3.6,2,1.6,-61.2,-2.45,16.3,0.766,77.5,3.219
Aberdeen 4BlueTit,Aberdeen 4,4,Aberdeen,"57.14548, -2.10272",Scotland,"56.68894, -4.0425997",227560,1225,22.5,-27.42857143,-58,-73.28571429,-24.71428571,-60.85714286,BlueTit,5.714285714,5.6,0.11,-82.86,-4.06,35.14285714,1.891428571,118,5.9544
Aberdeen 5BlueTit,Aberdeen 5,5,Aberdeen,"57.14548, -2.10272",Scotland,"56.68894, -4.0425997",227560,1225,28.8,-30.57142857,-67.14285714,-81.14285714,-32.28571429,-70,BlueTit,6.222222222,2.5,3.72,-59.22,-2.44,35.77777778,1.585555556,95,4.0235
Aberdeen 6BlueTit,Aberdeen 6,6,Aberdeen,"57.14548, -2.10272",Scotland,"56.68894, -4.0425997",227560,1225,28.8,-21.28571429,-68,-80.85714286,-29,-67.28571429,BlueTit,6,2,4,-20.44,-1.39,39.55555556,1.826666667,60,3.219
Aberdeen 7BlueTit,Aberdeen 7,7,Aberdeen,"57.14548, -2.10272",Scotland,"56.68894, -4.0425997",227560,1225,29,-13.14285714,-68,-81.71428571,-31.57142857,-67.71428571,BlueTit,5.8,3.571428571,2.23,-23.7,-0.98,32.3,1.546,56,2.529142857
Aberdeen 8BlueTit,Aberdeen 8,8,Aberdeen,"57.14548, -2.10272",Scotland,"56.68894, -4.0425997",227560,1225,27.8,17.14285714,-65,-81.14285714,-29,-66.71428571,BlueTit,8.375,6.857142857,1.52,-48.61,-2.42,66.25,1.995875,114.8571429,4.414
Aberdeen 9BlueTit,Aberdeen 9,9,Aberdeen,"57.14548, -2.10272",Scotland,"56.68894, -4.0425997",227560,1225,27.25,-4.4,-66,-80.6,-30.2,-67,BlueTit,6.333333333,11.5,-5.17,-104.33,-4.33,50.66666667,1.306666667,155,5.6325
Aberdeenshire 6BlueTit,Aberdeenshire 6,6,Aberdeenshire,"57.24153, -2.630565",Scotland,"56.68894, -4.0425997",261470,41.42,26.6,-21.28571429,-64.14285714,-69.42857143,-34.42857143,-55.57142857,BlueTit,1,4.5,-3.5,22,2,112,3,90,1
Anglesey 1BlueTit,Anglesey 1,1,Anglesey,"53.438904, -4.1845894",Wales,"52.325066, -3.7999659",69961,98.36,0.2,26.5,2.285714286,15.14285714,8.285714286,1.714285714,BlueTit,1.333333333,2,-0.67,57,1.35,62,1.347666667,5,0
Anglesey 3BlueTit,Anglesey 3,3,Anglesey,"53.438904, -4.1845894",Wales,"52.325066, -3.7999659",69961,98.36,5.5,42,-11,-5.857142857,22.42857143,-8.571428571,BlueTit,1,4,-3,-61,1.22,36,2.34,97,1.11625
Anglesey 5BlueTit,Anglesey 5,5,Anglesey,"53.438904, -4.1845894",Wales,"52.325066, -3.7999659",69961,98.36,NA,-40.28571429,-56.85714286,-74.14285714,-34.85714286,-57.28571429,BlueTit,2.571428571,4,-1.43,45.55,1.37,92,2.632571429,46.45454545,1.261272727
Anglesey 6BlueTit,Anglesey 6,6,Anglesey,"53.438904, -4.1845894",Wales,"52.325066, -3.7999659",69961,98.36,NA,-27.28571429,-59.28571429,-78,-29.28571429,-53.71428571,BlueTit,1,2.8,-1.8,0.1,-0.8,73.5,1.655,73.4,2.4522
Anglesey 7BlueTit,Anglesey 7,7,Anglesey,"53.438904, -4.1845894",Wales,"52.325066, -3.7999659",69961,98.36,NA,-32,-60,-80,-34,-55.57142857,BlueTit,1.6,2,-0.4,-20.07,-0.45,70.6,2.222,90.66666667,2.676666667
Anglesey 8BlueTit,Anglesey 8,8,Anglesey,"53.438904, -4.1845894",Wales,"52.325066, -3.7999659",69961,98.36,NA,-21.85714286,-53.85714286,-72.5,-26.57142857,-46.71428571,BlueTit,1,1.666666667,-0.67,-24.33,-1.42,6,0,30.33333333,1.423333333
Anglesey 9BlueTit,Anglesey 9,9,Anglesey,"53.438904, -4.1845894",Wales,"52.325066, -3.7999659",69961,98.36,NA,-35,-55.4,NA,-26.4,-47.8,BlueTit,1,1,0,25,1.31,60,1.617,35,0.306666667
Angus 3BlueTit,Angus 3,3,Angus,"56.724888, -2.918821",Scotland,"56.68894, -4.0425997",116040,53.19,6.6,24.66666667,-14.71428571,-4.571428571,16.28571429,-12.42857143,BlueTit,2,6.571428571,-4.57,-82.57,-2.16,40,0,122.5714286,2.164285714
Antrim 1BlueTit,Antrim 1,1,Antrim,"54.7173, -6.2055",Northern Ireland,"54.611828, -6.68582",142492,249.7,-0.166666667,-28,0.857142857,3.714285714,1.857142857,8,BlueTit,3,2,1,-30,0,60,1,90,1
Antrim 4BlueTit,Antrim 4,4,Antrim,"54.7173, -6.2055",Northern Ireland,"54.611828, -6.68582",142492,249.7,24.8,-26,-52.71428571,-61.14285714,-18.71428571,-72.14285714,BlueTit,2.333333333,2.2,0.13,19,0.63,60,1.166666667,41,0.54
Antrim 5BlueTit,Antrim 5,5,Antrim,"54.7173, -6.2055",Northern Ireland,"54.611828, -6.68582",142492,249.7,28.8,-57.5,-64.71428571,-69.42857143,-31.14285714,-81.14285714,BlueTit,2.666666667,1.5,1.17,7.5,0.5,60,1.5,52.5,1
Antrim 7BlueTit,Antrim 7,7,Antrim,"54.7173, -6.2055",Northern Ireland,"54.611828, -6.68582",142492,249.7,29.5,-64.5,-69,-68,-32.57142857,-80.57142857,BlueTit,2,2,0,-15,0.5,45,1.5,60,1
Antrim 8BlueTit,Antrim 8,8,Antrim,"54.7173, -6.2055",Northern Ireland,"54.611828, -6.68582",142492,249.7,27.2,-47,-60.57142857,-65,-27.14285714,-77.14285714,BlueTit,2,2,0,-54,0.5,6,1.5,60,1
Argyll and Bute 6BlueTit,Argyll and Bute 6,6,Argyll and Bute,"56.1639, -5.5215",Scotland,"56.68894, -4.0425997",86260,12.49,NA,-36.85714286,-63.14285714,-77.8,-35.57142857,-58.57142857,BlueTit,1,12,-11,-26,3.22,34,3.2185,60,0
Argyll and Bute 7BlueTit,Argyll and Bute 7,7,Argyll and Bute,"56.1639, -5.5215",Scotland,"56.68894, -4.0425997",86260,12.49,NA,-32.28571429,-63.14285714,-74.25,-37.71428571,-56.42857143,BlueTit,1.166666667,2,-0.83,60,4.95,70,5.113,10,0.161
Argyll and Bute 8BlueTit,Argyll and Bute 8,8,Argyll and Bute,"56.1639, -5.5215",Scotland,"56.68894, -4.0425997",86260,12.49,NA,-26.57142857,-59.71428571,-72,-31,-50.85714286,BlueTit,1,1,0,56.63,5.83,65.625,5.83375,9,0
Argyll and Bute 9BlueTit,Argyll and Bute 9,9,Argyll and Bute,"56.1639, -5.5215",Scotland,"56.68894, -4.0425997",86260,12.49,NA,-34,-59.6,-69,-30.8,-52.2,BlueTit,1,3,-2,22.5,1.63,87.5,5.6325,65,4
Bedfordshire 1BlueTit,Bedfordshire 1,1,Bedfordshire,"52.302456, -0.460721",England,"52.598877, -1.4668814",669338,542,0.428571429,-7.5,-0.857142857,0.857142857,4.142857143,-1.857142857,BlueTit,5.647058824,3.555555556,2.09,-6.42,-1.51,63.47058824,1.355352941,69.88888889,2.867555556
Bedfordshire 2BlueTit,Bedfordshire 2,2,Bedfordshire,"52.302456, -0.460721",England,"52.598877, -1.4668814",669338,542,1.285714286,-5,-2.142857143,-4.285714286,8.285714286,-10.28571429,BlueTit,4.785714286,4.444444444,0.34,-11.64,-0.77,21.35714286,0.901357143,33,1.675555556
Bedfordshire 3BlueTit,Bedfordshire 3,3,Bedfordshire,"52.302456, -0.460721",England,"52.598877, -1.4668814",669338,542,7.857142857,-10.4,-16.57142857,-20.85714286,19.28571429,-32,BlueTit,5,4,1,2.54,-0.53,29.66666667,1.162266667,27.125,1.688125
Bedfordshire 4BlueTit,Bedfordshire 4,4,Bedfordshire,"52.302456, -0.460721",England,"52.598877, -1.4668814",669338,542,24.4,-14.25,-50.28571429,-68.85714286,-21.85714286,-60.42857143,BlueTit,2.9,7.714285714,-4.81,-113.96,-3.88,15.9,0.7596,129.8571429,4.637285714
Bedfordshire 5BlueTit,Bedfordshire 5,5,Bedfordshire,"52.302456, -0.460721",England,"52.598877, -1.4668814",669338,542,28.4,-23.33333333,-61.42857143,-79.42857143,-33.14285714,-69.71428571,BlueTit,3.2,3.111111111,0.09,-16.12,-1.39,10.1,0.2439,26.22222222,1.629222222
Bedfordshire 6BlueTit,Bedfordshire 6,6,Bedfordshire,"52.302456, -0.460721",England,"52.598877, -1.4668814",669338,542,28.8,-9.5,-64.28571429,-77.28571429,-28.85714286,-65.85714286,BlueTit,1.333333333,4.222222222,-2.89,-37.44,-2.04,16.55555556,0,54,2.036555556
Bedfordshire 7BlueTit,Bedfordshire 7,7,Bedfordshire,"52.302456, -0.460721",England,"52.598877, -1.4668814",669338,542,29.2,-23.75,-64.57142857,-78.71428571,-36.85714286,-67.28571429,BlueTit,2,6.5,-4.5,-3.33,-0.11,30.16666667,0.879833333,33.5,0.9875
Bedfordshire 8BlueTit,Bedfordshire 8,8,Bedfordshire,"52.302456, -0.460721",England,"52.598877, -1.4668814",669338,542,27,7.8,-58.42857143,-75.42857143,-28.85714286,-60.57142857,BlueTit,1.333333333,2.222222222,-0.89,-13,-2.19,46.66666667,1,59.66666667,3.185333333
Bedfordshire 9BlueTit,Bedfordshire 9,9,Bedfordshire,"52.302456, -0.460721",England,"52.598877, -1.4668814",669338,542,27,-23,-58.4,-75.4,-30.2,-63.2,BlueTit,3.142857143,2.4,0.74,34.86,0.09,78.85714286,1.865428571,44,1.7758
Berkshire 1BlueTit,Berkshire 1,1,Berkshire,"51.450512, -1.07182",England,"52.598877, -1.4668814",911403,722,0.705882353,0.857142857,-0.261904762,1.095238095,4.785714286,-2.785714286,BlueTit,4.5,4.7,-0.2,51.77,1.33,80.57142857,1.8195,28.8,0.4893
Berkshire 2BlueTit,Berkshire 2,2,Berkshire,"51.450512, -1.07182",England,"52.598877, -1.4668814",911403,722,2.264705882,1.090909091,-2.666666667,-2.904761905,9,-9.738095238,BlueTit,3.642857143,12.71428571,-9.07,-39.21,-0.16,43.64285714,0.962142857,82.85714286,1.126428571
Berkshire 3BlueTit,Berkshire 3,3,Berkshire,"51.450512, -1.07182",England,"52.598877, -1.4668814",911403,722,12.3125,-9.625,-24.9047619,-22.23809524,19.57142857,-37.38095238,BlueTit,4.555555556,5.076923077,-0.52,-9.96,-0.11,34.88888889,1.012111111,44.84615385,1.122153846
Berkshire 4BlueTit,Berkshire 4,4,Berkshire,"51.450512, -1.07182",England,"52.598877, -1.4668814",911403,722,28.10344828,-13.84375,-60.23809524,-67.83333333,-23.73809524,-68.21428571,BlueTit,3.461538462,7.111111111,-3.65,-32.84,-2.05,46.26923077,0.381230769,79.11111111,2.4335
