date_collected,period,timing,lockdown_day,midden,shell,thickness,shell_length,maturity,legal,meat_Iversen
25/04/2020,Pre-lockdown,before,0,15,4,21,231,AD,YES,197
16/04/2020,Pre-lockdown,before,0,16,60,17,230,AD,YES,194.1
16/04/2020,Pre-lockdown,before,0,16,65,13,198,AD,YES,115.8
16/04/2020,Pre-lockdown,before,0,16,97,13,179,AD,YES,82.8
16/04/2020,Pre-lockdown,before,0,16,120,12,203,AD,YES,126.4
16/04/2020,Pre-lockdown,before,0,16,98,11,182,AD,YES,87.9
16/04/2020,Pre-lockdown,before,0,16,118,11,188,AD,YES,97.5
25/04/2020,Pre-lockdown,before,0,15,46,10,169,AD,YES,68.6
16/04/2020,Pre-lockdown,before,0,16,122,9,207,AD,YES,135.1
16/04/2020,Pre-lockdown,before,0,16,94,8,201,AD,YES,122.9
16/04/2020,Pre-lockdown,before,0,16,121,8,190,AD,YES,101.1
25/04/2020,Pre-lockdown,before,0,15,1,7,203,AD,YES,126.4
25/04/2020,Pre-lockdown,before,0,15,50,7,191,AD,YES,102.9
16/04/2020,Pre-lockdown,before,0,16,96,7,195,AD,YES,110.3
16/04/2020,Pre-lockdown,before,0,16,165,7,198,AD,YES,116.2
25/04/2020,Pre-lockdown,before,0,15,52,6,213,AD,YES,149
25/04/2020,Pre-lockdown,before,0,15,2,5,207,AD,YES,135.1
25/04/2020,Pre-lockdown,before,0,15,49,5,206,AD,YES,132.9
16/04/2020,Pre-lockdown,before,0,16,61,5,227,AD,YES,185.2
16/04/2020,Pre-lockdown,before,0,16,62,5,199,AD,YES,119
16/04/2020,Pre-lockdown,before,0,16,75,5,192,AD,YES,104.7
16/04/2020,Pre-lockdown,before,0,16,119,5,183,AD,YES,89.2
16/04/2020,Pre-lockdown,before,0,16,166,5,170,AD,YES,69.9
25/04/2020,Pre-lockdown,before,0,15,5,4,211,AD,YES,144.2
25/04/2020,Pre-lockdown,before,0,15,47,4,214,AD,YES,151.4
25/04/2020,Pre-lockdown,before,0,15,48,4,217,AD,YES,158.8
25/04/2020,Pre-lockdown,before,0,15,53,4,190,AD,YES,101.1
16/04/2020,Pre-lockdown,before,0,16,63,4,185,AD,YES,92.4
25/04/2020,Pre-lockdown,before,0,15,3,3,221,SA,YES,169.1
25/04/2020,Pre-lockdown,before,0,15,44,3,201,SA,YES,122.2
25/04/2020,Pre-lockdown,before,0,15,45,3,184,SA,YES,90.8
25/04/2020,Pre-lockdown,before,0,15,51,3,203,SA,YES,126.4
16/04/2020,Pre-lockdown,before,0,16,56,3,214,SA,YES,151.4
16/04/2020,Pre-lockdown,before,0,16,92,3,182,SA,YES,88.3
16/04/2020,Pre-lockdown,before,0,16,101,3,192,SA,YES,104.5
25/04/2020,Pre-lockdown,before,0,15,41,2,200,SA,YES,120.2
25/04/2020,Pre-lockdown,before,0,15,43,2,178,SA,YES,81.3
16/04/2020,Pre-lockdown,before,0,16,74,2,194,SA,YES,108.3
16/04/2020,Pre-lockdown,before,0,16,93,2,181,SA,YES,86.1
16/04/2020,Pre-lockdown,before,0,16,100,2,205,SA,YES,130.5
25/04/2020,Pre-lockdown,before,0,15,42,1,171,SA,YES,71.3
25/04/2020,Pre-lockdown,before,0,15,6,,232,LJ,NO,200
25/04/2020,Pre-lockdown,before,0,15,7,,188,MJ,NO,97.5
25/04/2020,Pre-lockdown,before,0,15,8,,186,MJ,NO,94.1
25/04/2020,Pre-lockdown,before,0,15,9,,195,MJ,NO,110.3
25/04/2020,Pre-lockdown,before,0,15,10,,199,MJ,NO,118.2
25/04/2020,Pre-lockdown,before,0,15,11,,178,MJ,NO,81.3
25/04/2020,Pre-lockdown,before,0,15,12,,209,LJ,NO,139.6
25/04/2020,Pre-lockdown,before,0,15,13,,208,LJ,NO,137.3
25/04/2020,Pre-lockdown,before,0,15,14,,198,MJ,NO,116.2
25/04/2020,Pre-lockdown,before,0,15,15,,187,MJ,NO,95.8
25/04/2020,Pre-lockdown,before,0,15,16,,184,MJ,NO,90.8
25/04/2020,Pre-lockdown,before,0,15,17,,180,MJ,NO,84.4
25/04/2020,Pre-lockdown,before,0,15,18,,182,MJ,NO,87.5
25/04/2020,Pre-lockdown,before,0,15,19,,166,MJ,NO,64.7
25/04/2020,Pre-lockdown,before,0,15,20,,151,MJ,NO,47.9
25/04/2020,Pre-lockdown,before,0,15,21,,174,MJ,NO,75.5
25/04/2020,Pre-lockdown,before,0,15,22,,175,MJ,NO,76.9
25/04/2020,Pre-lockdown,before,0,15,23,,175,MJ,NO,76.9
25/04/2020,Pre-lockdown,before,0,15,24,,161,MJ,NO,58.6
25/04/2020,Pre-lockdown,before,0,15,25,,153,MJ,NO,49.9
25/04/2020,Pre-lockdown,before,0,15,26,,187,MJ,NO,95.8
25/04/2020,Pre-lockdown,before,0,15,27,,165,MJ,NO,63.5
25/04/2020,Pre-lockdown,before,0,15,28,,190,MJ,NO,101.1
25/04/2020,Pre-lockdown,before,0,15,29,,150,MJ,NO,46.9
25/04/2020,Pre-lockdown,before,0,15,30,,155,MJ,NO,52
25/04/2020,Pre-lockdown,before,0,15,31,,189,MJ,NO,99.3
25/04/2020,Pre-lockdown,before,0,15,32,,185,MJ,NO,92.4
25/04/2020,Pre-lockdown,before,0,15,33,,186,MJ,NO,94.1
25/04/2020,Pre-lockdown,before,0,15,34,,153,MJ,NO,49.9
25/04/2020,Pre-lockdown,before,0,15,35,,167,MJ,NO,66
25/04/2020,Pre-lockdown,before,0,15,36,,184,MJ,NO,90.8
25/04/2020,Pre-lockdown,before,0,15,37,,136,SJ,NO,34.8
25/04/2020,Pre-lockdown,before,0,15,38,,177,MJ,NO,79.8
25/04/2020,Pre-lockdown,before,0,15,39,,140,SJ,NO,38
25/04/2020,Pre-lockdown,before,0,15,40,,162,MJ,NO,59.8
16/04/2020,Pre-lockdown,before,0,16,54,,130,SJ,NO,30.5
16/04/2020,Pre-lockdown,before,0,16,55,,191,MJ,NO,102.6
16/04/2020,Pre-lockdown,before,0,16,57,,172,MJ,NO,72.6
16/04/2020,Pre-lockdown,before,0,16,58,,205,LJ,NO,130.7
16/04/2020,Pre-lockdown,before,0,16,59,,169,MJ,NO,68.4
16/04/2020,Pre-lockdown,before,0,16,64,,112,SJ,NO,20.4
16/04/2020,Pre-lockdown,before,0,16,66,,219,LJ,NO,163.9
16/04/2020,Pre-lockdown,before,0,16,67,,193,MJ,NO,106.9
16/04/2020,Pre-lockdown,before,0,16,68,,191,MJ,NO,102.9
16/04/2020,Pre-lockdown,before,0,16,69,,172,MJ,NO,72.8
16/04/2020,Pre-lockdown,before,0,16,70,,162,MJ,NO,59.3
16/04/2020,Pre-lockdown,before,0,16,71,,162,MJ,NO,60.1
16/04/2020,Pre-lockdown,before,0,16,72,,163,MJ,NO,61
16/04/2020,Pre-lockdown,before,0,16,73,,137,SJ,NO,35.8
16/04/2020,Pre-lockdown,before,0,16,76,,186,MJ,NO,94.1
16/04/2020,Pre-lockdown,before,0,16,77,,192,MJ,NO,104.7
16/04/2020,Pre-lockdown,before,0,16,78,,173,MJ,NO,74
16/04/2020,Pre-lockdown,before,0,16,79,,181,MJ,NO,86
16/04/2020,Pre-lockdown,before,0,16,80,,184,MJ,NO,90.8
16/04/2020,Pre-lockdown,before,0,16,81,,184,MJ,NO,90.8
16/04/2020,Pre-lockdown,before,0,16,82,,187,MJ,NO,95.8
16/04/2020,Pre-lockdown,before,0,16,83,,184,MJ,NO,90.8
16/04/2020,Pre-lockdown,before,0,16,84,,194,MJ,NO,108.1
16/04/2020,Pre-lockdown,before,0,16,85,,190,MJ,NO,100.2
16/04/2020,Pre-lockdown,before,0,16,86,,177,MJ,NO,79.8
16/04/2020,Pre-lockdown,before,0,16,87,,161,MJ,NO,59.1
16/04/2020,Pre-lockdown,before,0,16,88,,185,MJ,NO,91.8
16/04/2020,Pre-lockdown,before,0,16,89,,165,MJ,NO,64
16/04/2020,Pre-lockdown,before,0,16,90,,153,MJ,NO,50.3
16/04/2020,Pre-lockdown,before,0,16,91,,163,MJ,NO,60.5
16/04/2020,Pre-lockdown,before,0,16,95,,178,MJ,NO,81.3
16/04/2020,Pre-lockdown,before,0,16,99,,189,MJ,NO,99.3
16/04/2020,Pre-lockdown,before,0,16,102,,165,MJ,NO,63
16/04/2020,Pre-lockdown,before,0,16,103,,151,MJ,NO,48
16/04/2020,Pre-lockdown,before,0,16,104,,148,SJ,NO,45.2
16/04/2020,Pre-lockdown,before,0,16,105,,165,MJ,NO,63.1
16/04/2020,Pre-lockdown,before,0,16,106,,165,MJ,NO,63.7
16/04/2020,Pre-lockdown,before,0,16,107,,179,MJ,NO,82.7
16/04/2020,Pre-lockdown,before,0,16,108,,181,MJ,NO,86.1
16/04/2020,Pre-lockdown,before,0,16,109,,172,MJ,NO,73
16/04/2020,Pre-lockdown,before,0,16,110,,157,MJ,NO,53.6
16/04/2020,Pre-lockdown,before,0,16,111,,146,SJ,NO,42.7
16/04/2020,Pre-lockdown,before,0,16,112,,132,SJ,NO,31.7
16/04/2020,Pre-lockdown,before,0,16,113,,181,MJ,NO,86.1
