Expressway no.,SITE.NAME,SITE,MONTH,MONTH.CHAR,YEAR,LOCKDOWN,WVC,TRAFFIC.COUNTS
55,Jungang Expressway,A,1,Jan.,2018,no,10,410877
,,A,2,Feb.,2018,no,5,401366
,,A,3,Mar.,2018,no,7,319773
,,A,4,Apr.,2018,no,17,418036
,,A,5,May,2018,no,54,443590
35,Jungbu Expressway,B,1,Jan.,2018,no,7,917994
,,B,2,Feb.,2018,no,7,938593
,,B,3,Mar.,2018,no,5,761768
,,B,4,Apr.,2018,no,13,1001809
,,B,5,May,2018,no,45,1067197
15,Seohaean Expressway,C,1,Jan.,2018,no,6,1347865
,,C,2,Feb.,2018,no,4,1378667
,,C,3,Mar.,2018,no,4,1154956
,,C,4,Apr.,2018,no,27,1555065
,,C,5,May,2018,no,24,1594621
30,Dangjin-Yeongdeok Expressway,D,1,Jan.,2018,no,6,655954
,,D,2,Feb.,2018,no,3,670464
,,D,3,Mar.,2018,no,7,540342
,,D,4,Apr.,2018,no,20,736172
,,D,5,May,2018,no,51,767111
50,Yeongdong Expressway,E,1,Jan.,2018,no,8,465587
,,E,2,Feb.,2018,no,2,531490
,,E,3,Mar.,2018,no,2,355649
,,E,4,Apr.,2018,no,17,436224
,,E,5,May,2018,no,42,473617
1,Gyeongbu Expressway,F,1,Jan.,2018,no,7,1570160
,,F,2,Feb.,2018,no,5,1671179
,,F,3,Mar.,2018,no,7,1518564
,,F,4,Apr.,2018,no,22,1720508
,,F,5,May,2018,no,37,2190550
25,Honam Expressway,G,1,Jan.,2018,no,2,968489
,,G,2,Feb.,2018,no,1,1071144
,,G,3,Mar.,2018,no,1,827929
,,G,4,Apr.,2018,no,6,1134943
,,G,5,May,2018,no,3,1193191
45,Jungbunaeryuk Expressway,H,1,Jan.,2018,no,6,96945
,,H,2,Feb.,2018,no,2,119894
,,H,3,Mar.,2018,no,2,87044
,,H,4,Apr.,2018,no,4,135918
,,H,5,May,2018,no,12,156521
12,"Muan-Gwangju, Gwangju-Daegu Expressway",I,1,Jan.,2018,no,1,904884
,,I,2,Feb.,2018,no,0,938950
,,I,3,Mar.,2018,no,4,780105
,,I,4,Apr.,2018,no,4,1093383
,,I,5,May,2018,no,8,1162433
65,Donghae Expressway,J,1,Jan.,2018,no,2,415209
,,J,2,Feb.,2018,no,1,427763
,,J,3,Mar.,2018,no,0,315255
,,J,4,Apr.,2018,no,4,426784
