Weeks,Landings,Year,Covid
12,278502.00,2020,yes
13,366762.00,2020,yes
14,494141.00,2020,yes
15,658097.00,2020,yes
16,885083.00,2020,yes
17,1156056.00,2020,yes
18,1301422.00,2020,yes
19,1533997.00,2020,yes
20,1856814.00,2020,yes
21,2191547.00,2020,yes
22,2476218.00,2020,yes
23,2851962.00,2020,yes
24,3106225.00,2020,yes
25,3416554.00,2020,yes
26,3674289.00,2020,yes
27,3841906.00,2020,yes
28,4031763.00,2020,yes
29,4333726.00,2020,yes
30,4630923.00,2020,yes
31,4904819.00,2020,yes
32,5133389.00,2020,yes
33,5514485.00,2020,yes
34,5891404.00,2020,yes
12,315191.00,2019,no
13,670464.00,2019,no
14,1071874.00,2019,no
15,1295726.00,2019,no
16,1731208.00,2019,no
17,1933250.00,2019,no
18,2413693.00,2019,no
19,2780101.00,2019,no
20,3126369.00,2019,no
21,3463256.00,2019,no
22,3800641.00,2019,no
23,4118020.00,2019,no
24,4450630.00,2019,no
25,4734556.00,2019,no
26,5033479.00,2019,no
27,5240956.00,2019,no
28,5544096.00,2019,no
29,5811232.00,2019,no
30,6044720.00,2019,no
31,6353470.00,2019,no
32,6728223.00,2019,no
33,7123378.00,2019,no
34,7390559.00,2019,no
12,0.00,2018,no
13,507627.00,2018,no
14,718785.00,2018,no
15,975872.00,2018,no
16,1413094.00,2018,no
17,1764488.00,2018,no
18,2156438.00,2018,no
19,2578741.00,2018,no
20,2915195.00,2018,no
21,3222756.00,2018,no
22,3624817.00,2018,no
23,4019417.00,2018,no
24,4336787.00,2018,no
25,4488568.00,2018,no
26,4767163.00,2018,no
27,5008741.00,2018,no
28,5194978.00,2018,no
29,5428129.00,2018,no
30,5783441.00,2018,no
31,6026863.00,2018,no
32,6417640.00,2018,no
33,6706148.00,2018,no
34,7122541.00,2018,no
