Turtle id,Day.of.the.year.2020,Latitude,Longitude,Distance.From.Centroid
178885,8,-6.57972,72.3077,0.007681283
178885,23,-6.58228,72.3082,0.010282867
178885,38,-6.5876,72.3091,0.015676029
178885,53,-6.58685,72.3078,0.014795178
178885,68,-6.56237,72.306,0.009752743
178885,83,-6.57611,72.307,0.004027765
178885,98,-6.55931,72.3056,0.012836755
178885,113,-6.58672,72.3091,0.01480558
178885,128,-6.57052,72.3041,0.003173975
178885,143,-6.55799,72.3059,0.014127376
178885,158,-6.56164,72.3064,0.010454808
178885,173,-6.5741,72.3073,0.002062528
178885,188,-6.55189,72.305,0.020280232
182298,8,-7.05437,71.2991,0.001250549
182298,23,-7.05572,71.2993,0.000998416
182298,38,-7.05628,71.2989,0.001049441
182298,53,-7.05429,71.2984,0.00108991
182298,68,-7.0586,71.298,0.003240997
182298,83,-7.0554,71.2958,0.002561623
182298,98,-7.05617,71.2982,0.0008071
182298,113,-7.05439,71.2996,0.001585044
182298,128,-7.05363,71.2977,0.001870145
182298,143,-7.05412,71.3035,0.005290506
182298,158,-7.05672,71.2987,0.00138283
182298,173,-7.0549,71.2949,0.003494554
182298,188,-7.05534,71.2966,0.001761975
182220,41,-6.52184,72.1395,0.001229167
182220,56,-6.52162,72.1403,0.000500269
182220,71,-6.52198,72.1405,0.000801734
182220,86,-6.5212,72.1413,0.000763923
182220,101,-6.52084,72.141,0.000574405
182220,116,-6.52112,72.1411,0.000566725
182220,131,-6.52089,72.1416,0.001102223
182220,146,-6.52137,72.1405,0.000194341
182220,161,-6.52125,72.1404,0.000153698
182220,176,-6.52023,72.1403,0.00097808
182220,191,-6.52063,72.1394,0.001262071
182219,16,-6.23107,72.4622,0.002333592
182219,31,-6.23035,72.4622,0.001846241
182219,46,-6.22685,72.4639,0.002452344
182219,61,-6.22952,72.4627,0.001039932
182219,76,-6.22743,72.4627,0.002123833
182219,91,-6.22548,72.4643,0.003859914
182219,106,-6.22764,72.4641,0.001699479
182219,121,-6.22463,72.4648,0.004789802
182219,136,-6.23094,72.4638,0.001646791
182219,151,-6.23294,72.463,0.003714162
182219,166,-6.23036,72.4639,0.001080504
182219,181,-6.23043,72.4641,0.001198032
182219,196,-6.2332,72.4666,0.004854588
182218,8,-6.52199,72.1515,0.001518498
182218,23,-6.5217,72.1537,0.002231753
182218,38,-6.52151,72.1546,0.002960554
182218,53,-6.521,72.1516,0.000540182
182218,68,-6.52189,72.152,0.001397631
182218,83,-6.52041,72.1541,0.002286574
182218,98,-6.52089,72.1541,0.002316892
182218,113,-6.52051,72.1507,0.001115398
182218,128,-6.51872,72.1496,0.002844781
182218,143,-6.51911,72.1498,0.002450863
182218,158,-6.51926,72.1493,0.002806462
182218,173,-6.51923,72.1502,0.002057696
182218,188,-6.52034,72.1524,0.000607349
182217,9,-6.50357,72.1746,0.000839737
182217,24,-6.50383,72.1738,0.000483978
182217,39,-6.50485,72.173,0.001244182
182217,54,-6.50466,72.1732,0.000978034
182217,69,-6.50424,72.1736,0.000477102
182217,84,-6.50438,72.1736,0.000500887
182217,99,-6.5045,72.1733,0.000823517
182217,114,-6.50414,72.1737,0.000386816
182217,129,-6.50442,72.1746,0.000557573
182217,144,-6.50335,72.1747,0.001075741
182217,159,-6.50409,72.1746,0.000540701
182217,174,-6.50497,72.1746,0.00090872
182217,189,-6.50395,72.1757,0.001646531
182213,12,-6.51669,72.1965,0.000516143
182213,27,-6.51874,72.1956,0.001733408
182213,42,-6.51885,72.1961,0.001681477
182213,57,-6.51858,72.1975,0.00178352
182213,72,-6.51711,72.1968,0.00042793
182213,87,-6.51763,72.1956,0.000894564
182213,102,-6.51915,72.1951,0.002339266
182213,117,-6.5173,72.1948,0.001583687
182213,132,-6.51235,72.198,0.005105817
182213,147,-6.51552,72.1978,0.002193623
182209,8,-5.91459,71.7798,0.00126616
182209,23,-5.91441,71.7773,0.001446691
182209,38,-5.91326,71.7789,0.000761849
182209,53,-5.91431,71.7789,0.000385096
182209,68,-5.91337,71.7787,0.00062096
182209,83,-5.91418,71.7781,0.000614478
182209,98,-5.91409,71.7778,0.000890164
182209,113,-5.9142,71.7789,0.00030028
182209,128,-5.9137,71.7774,0.001317112
182209,143,-5.91359,71.7782,0.000628863
182209,158,-5.9148,71.7776,0.001353235
182209,173,-5.91355,71.7777,0.00107877
182209,188,-5.91383,71.7836,0.004918013
