Unique.Day,Year,TagID,HV
18/04,2019,152320,0.504741356
19/04,2019,152317,0.68276221
20/04,2019,152320,0.636410888
21/04,2019,152317,0.822749963
22/04,2019,152317,0.9795308
23/04,2019,152317/152320/177761,0.777996788
24/04,2019,152317/152320/177761,0.3130573
25/04,2019,152317/152318/152320/177761,1.281334487
26/04,2019,152317/152318/152320/177761,0.633586417
27/04,2019,152317/152318/152320/177761,0.524251774
28/04,2019,152317/152318/152320/177761,0.523029797
29/04,2019,152317/177761,1.00798316
30/04,2019,152317/152320/177761,0.626765998
01/05,2019,152317/177761,0.901759804
02/05,2019,152317/177761,1.352953646
03/05,2019,152317/177761,1.037900264
04/05,2019,152317/152318/177761,0.83265023
05/05,2019,152317/152318/177761,1.27093158
06/05,2019,152317,0.70041553
07/05,2019,152317/177761,0.332496927
08/05,2019,152318/177761,0.924807775
09/05,2019,152317/152318,0.395160449
10/05,2019,152317/152318/177761,0.852554297
11/05,2019,152317,0.49720603
12/05,2019,152317/152318,0.445713335
13/05,2019,152317,1.350554065
14/05,2019,152317/152318,1.027796556
15/05,2019,152317,1.6043027
16/05,2019,152317,1.085297746
17/05,2019,152317/177765,1.122531114
18/05,2019,152317/177765,0.457732395
19/05,2019,152317/177765,0.510494696
20/05,2019,152317/177765,1.124820438
21/05,2019,152317/177765,1.134040493
22/05,2019,152317/177765,1.048363003
23/05,2019,152317/177765,0.604612507
24/05,2019,152317/177765,0.27066129
25/05,2019,152317/177765,0.652736317
26/05,2019,152317/177765,0.967730673
27/05,2019,152317/177765,0.784844853
28/05,2019,152317/177765,1.272417667
29/05,2019,152317,0.557386735
30/05,2019,152317,0.197188331
31/05,2019,152317,0.285818461
01/06,2019,152317/177765,2.044124167
02/06,2019,152317/177765,1.095396749
08/06,2019,152317/177765,0.521308839
09/06,2019,152317/177765,1.333695279
10/06,2019,152317/177765,0.96553036
11/06,2019,152317/177765,0.287063453
12/06,2019,152317/177765,1.069663107
13/06,2019,152317/177765,1.02927466
14/06,2019,152317/177765,0.798706725
15/06,2019,152317,0.17420793
16/06,2019,152317/177765,0.755542283
17/06,2019,152317/177765,0.486892225
18/06,2019,152317/177765,0.686042979
19/06,2019,152317/177765,0.248036747
20/06,2019,177765,0.576708569
21/06,2019,152317/177765,0.277442095
22/06,2019,152317/177765,0.160480892
23/06,2019,152317/177765,0.202552041
24/06,2019,152317/177765,0.186863721
25/06,2019,177765,0.037491721
26/06,2019,152317/177765,0.091518023
27/06,2019,152317/177765,0.520323201
28/06,2019,152317/177765,0.292059556
29/06,2019,177765,0.046617554
30/06,2019,152317/177765,0.622444601
01/07,2019,152317/177765,0.790668275
02/07,2019,177765,0.25186688
03/07,2019,177765,0.774012497
04/07,2019,152317/177765,1.053699697
05/07,2019,152317/177765,0.781994937
06/07,2019,152317/177765,0.260588019
08/07,2019,152317/177765,0.579856165
18/07,2019,152317,0.354235984
28/07,2019,152317/182986,2.061474071
29/07,2019,152317/177765/182986,1.828490774
30/07,2019,152317/182986,4.176322065
31/07,2019,152317/182986,2.30598668
18/04,2020,182984,6.382622618
19/04,2020,182984,1.95441473
20/04,2020,182984,3.751642225
21/04,2020,182984,3.00150124
22/04,2020,182984,3.909356713
23/04,2020,182984,2.193968
24/04,2020,182984,4.508917667
25/04,2020,182984,4.631635065
26/04,2020,182984,4.307207354
27/04,2020,182984,3.590719428
28/04,2020,182984,0.692454877
29/04,2020,182984,1.59853707
30/04,2020,182984,0.915079269
01/05,2020,182984,0.557959922
02/05,2020,182984/182989,3.091000006
03/05,2020,182984/182989,0.946219798
04/05,2020,182984/182989,2.416277158
05/05,2020,182984/182989,5.594613227
06/05,2020,182984/182989,2.605073601
07/05,2020,182984/182989,4.363862168
08/05,2020,182984/182989,4.569260465
09/05,2020,182984/182989,3.398513588
10/05,2020,182984/182989,2.908385779
11/05,2020,182984/182989,2.991038672
12/05,2020,182984/182989,3.258811501
13/05,2020,182984/182989,3.261828065
14/05,2020,182984/182989,2.200157024
15/05,2020,182984/182987/182989,2.858535917
16/05,2020,182984/182987/182989,4.913160712
17/05,2020,182984/182987/182989,2.230648833
18/05,2020,182984/182987/182989,1.112253257
19/05,2020,182984/182987/182989,3.616618706
20/05,2020,182984/182987,2.296049589
21/05,2020,182984/182987/182989,1.857192111
22/05,2020,182984,1.699749023
23/05,2020,182987,0.603472573
24/05,2020,182987,1.870353952
25/05,2020,182987,0.192549583
26/05,2020,182984/182987,0.221039183
27/05,2020,182987,0.393417201
28/05,2020,182987,0.100974408
29/05,2020,182987,0.665542229
30/05,2020,182987,0.82680991
31/05,2020,182987,0.715840302
01/06,2020,182987,0.714768077
02/06,2020,182987,1.780317896
08/06,2020,182989,8.316615482
09/06,2020,182989,1.159529832
10/06,2020,182989,3.114873082
11/06,2020,182984/182987/182989,2.349849899
12/06,2020,182984/182987/182989,1.951591362
13/06,2020,182984/182987/182989,2.014534422
14/06,2020,182984/182987/182989,1.869314281
15/06,2020,182984/182987/182989,4.132267509
16/06,2020,182984/182987/182989,4.370253505
17/06,2020,182984/182987/182989,2.250947314
18/06,2020,182984/182987/182989,2.28368808
19/06,2020,182984/182987/182989,2.016702755
20/06,2020,182984/182987,4.244443863
21/06,2020,182984/182987/182989,3.32648205
22/06,2020,182984/182989,5.780257655
23/06,2020,182984/182989,2.082890462
24/06,2020,182984/182987/182989,0.572321802
25/06,2020,182984/182987/182989,0.706034596
26/06,2020,182984/182987/182989,0.354426639
27/06,2020,182987/182989,0.498554424
28/06,2020,182987,0.640140783
29/06,2020,182987/182988,0.971994479
30/06,2020,182987/182988,1.799862904
01/07,2020,182987/182988,2.293030736
02/07,2020,182987/182988,2.720533868
03/07,2020,182987/182988,2.308448614
04/07,2020,182984/182987/182988,1.716072017
05/07,2020,182984/182988,2.581081928
06/07,2020,182984,2.276591399
08/07,2020,182984,0.03110739
18/07,2020,182984,0.10901782
28/07,2020,182984,0.87193337
29/07,2020,182984,2.02707149
30/07,2020,182984,0.103676278
31/07,2020,182984,3.90654822
