abund.p,abund.jm,abund.cm,abund.hc,food.source,site.id,tc,Covid,date,time,cb.phase,litter,bins,others,feeding,f.total
2,1,0,0,hc,HC1,AH,no,0,80,b,1,0,1,0,2
9,8,0,3,hc,HC2,AH,no,0,110,b,1,6,0,2,9
9,14,0,3,hc,HC3,AH,no,0,164,b,3,0,0,2,5
14,6,0,0,hc,HC4,AH,no,0,50,b,5,1,0,0,6
0,3,0,0,hc,HC5,AH,no,0,135,b,1,0,0,0,1
9,19,1,1,hc,HC6,AMK,no,0,169,b,33,3,0,0,36
10,8,2,0,hc,HC7,AMK,no,0,165,b,0,0,1,0,1
24,23,1,2,hc,HC10,ECFS,no,0,215,b,20,0,0,0,20
0,2,0,1,hc,HC11,JB,no,0,200,b,0,2,0,0,2
5,5,0,0,hc,HC12,JB,no,0,140,b,14,0,0,0,14
0,9,0,0,hc,HC13,JB,no,0,25,b,8,4,0,0,12
17,6,2,5,hc,HC15,JB,no,0,35,b,2,5,0,0,7
50,11,0,0,hc,HC16,JB,no,0,107,b,21,6,0,0,27
33,9,0,0,hc,HC17,JB,no,0,178,b,25,0,0,0,25
5,39,0,0,hc,HC19,JC,no,0,98,b,13,9,0,0,22
0,14,0,0,hc,HC20,JC,no,0,256,b,6,15,0,0,21
0,15,0,0,hc,HC21,JC,no,0,208,b,9,1,0,0,10
10,7,0,0,hc,HC22,JC,no,0,30,b,6,4,0,0,10
34,7,0,0,hc,HC23,SMYT,no,0,88,b,0,0,4,0,4
18,23,0,4,hc,HC24,MP,no,0,228,b,1,2,0,0,3
2,17,0,0,hc,HC25,MP,no,0,202,b,0,0,0,0,0
5,6,0,2,hc,HC26,MP,no,0,160,b,1,1,0,0,2
12,23,0,1,hc,HC32,NS,no,0,28,b,1,7,2,0,10
5,4,0,0,hc,HC33,NS,no,0,139,b,0,0,1,0,1
0,19,0,1,hc,HC34,T,no,0,20,b,4,2,0,1,7
3,4,0,1,hc,HC35,BTP,no,0,204,b,0,1,0,0,1
15,2,1,0,hc,HC36,TP,no,0,297,b,0,0,0,0,0
4,2,0,0,hc,HC37,TP,no,0,95,b,0,0,0,0,0
2,4,0,0,hc,HC38,TP,no,0,265,b,0,0,0,0,0
12,4,0,0,hc,HC39,TP,no,0,42,b,0,0,0,0,0
31,14,0,0,hc,HC40,TP,no,0,20,b,0,0,0,0,0
0,12,0,0,hc,HC41,TP,no,0,60,b,0,1,0,0,1
2,24,0,0,hc,HC42,TP,no,0,90,b,1,0,0,0,1
1,20,0,0,hc,HC8,ECFS,no,1,35,b,1,3,0,0,4
20,7,0,0,hc,HC9,ECFS,no,1,115,b,9,3,0,0,12
2,7,0,8,hc,HC18,JB,no,1,197,b,0,0,0,0,0
14,3,0,0,hc,HC27,MP,no,1,71,b,16,1,0,0,17
42,8,0,0,hc,HC28,MP,no,1,36,b,14,6,0,0,20
8,5,0,1,hc,HC29,MP,no,1,155,b,5,2,0,0,7
9,16,0,1,hc,HC30,MP,no,1,136,b,42,1,0,0,43
39,2,0,0,hc,HC44,WC,no,1,66,b,1,5,0,1,7
25,28,0,0,hc,HC45,WC,no,1,19,b,0,1,0,0,1
0,6,0,0,gs,GS3,SMYT,no,1,122,b,0,0,0,0,0
0,0,0,0,gs,GS9,WC,no,1,152,b,0,0,0,0,0
0,3,0,0,gs,GS10,PRPG,no,1,116,b,0,0,0,0,0
0,0,0,0,gs,GS11,PRPG,no,1,167,b,0,0,0,0,0
0,0,0,0,gs,GS12,MP,no,1,115,b,0,0,0,0,0
11,3,0,0,gs,GS13,MP,no,1,75,b,0,0,0,0,0
0,5,0,2,gs,GS14,ECFS,no,1,23,b,0,0,0,0,0
1,3,4,0,gs,GS20,WC,no,1,190,b,0,0,0,0,0
0,14,0,0,gs,GS21,JC,no,1,125,b,0,0,0,0,0
0,0,0,0,gs,GS22,JC,no,1,135,b,0,0,0,0,0
0,7,0,0,gs,GS25,BTP,no,1,220,b,0,2,0,0,2
0,0,0,0,gs,GS28,PRPG,no,1,260,b,0,4,0,0,4
0,0,0,0,gs,GS31,TP,no,1,115,b,0,0,0,0,0
0,8,0,0,gs,GS32,TP,no,1,80,b,1,0,0,0,1
0,8,0,0,gs,GS33,TP,no,1,20,b,0,0,0,0,0
0,8,0,0,gs,GS34,SMYT,no,1,28,b,0,0,0,0,0
0,0,0,0,gs,GS36,AMK,no,1,20,b,0,1,0,0,1
0,16,4,0,gs,GS37,AMK,no,1,46,b,1,1,0,0,2
0,0,0,0,gs,GS42,WC,no,1,30,b,0,0,0,0,0
0,0,0,0,gs,GS43,WC,no,1,60,b,0,0,0,0,0
0,0,0,0,gs,GS45,SMYT,no,1,163,b,0,0,0,0,0
0,8,0,0,gs,GS46,SMYT,no,1,78,b,2,0,0,0,2
31,14,0,0,hc,HC43,WC,no,2,228,b,9,6,0,0,15
0,13,0,0,hc,HC46,WC,no,2,194,b,1,2,0,0,3
0,0,0,0,gs,GS1,AMK,no,2,62,b,0,0,0,0,0
0,0,0,0,gs,GS2,AMK,no,2,36,b,0,0,0,0,0
0,6,0,0,gs,GS4,BTP,no,2,90,b,0,0,0,0,0
0,10,0,0,gs,GS5,BTP,no,2,126,b,0,0,0,0,0
0,2,0,0,gs,GS15,TP,no,2,45,b,0,0,0,0,0
0,1,0,0,gs,GS16,TP,no,2,62,b,0,0,0,0,0
0,0,0,0,gs,GS19,WC,no,2,54,b,0,0,0,0,0
0,0,0,0,gs,GS23,WC,no,2,15,b,0,0,0,0,0
0,0,0,0,gs,GS24,WC,no,2,35,b,0,0,0,0,0
0,0,0,0,gs,GS26,TP,no,2,127,b,0,0,0,0,0
0,0,0,0,gs,GS27,TP,no,2,148,b,0,0,0,0,0
7,0,0,0,gs,GS35,T,no,2,20,b,0,0,1,0,1
0,0,0,0,gs,GS38,WC,no,2,75,b,0,0,0,0,0
0,0,0,0,gs,GS39,WC,no,2,97,b,0,0,0,0,0
0,0,0,0,gs,GS40,T,no,2,55,b,0,0,0,0,0
0,18,0,0,gs,GS41,BTP,no,2,175,b,0,0,0,0,0
0,6,0,1,bc,BC10,T,no,2,166,b,0,3,0,0,3
3,13,0,0,bc,BC17,JB,no,2,141,b,1,0,0,0,1
16,6,0,0,bc,BC18,JB,no,2,95,b,0,2,0,0,2
