id,date,month,lon,lat,g,cov,sex,length,bathy,ground,year
ct105-14f-13,2014-03-16 11:00,03,38.63986421,-67.61668947,0.614816875,non-cov,f,2.32,-3526.096924,0,2014
ct105-14f-13,2014-04-03 11:00,04,36.83284958,-67.41738783,0.672363224,non-cov,f,2.32,-3747.413086,0,2014
ct105-14f-13,2014-04-05 11:00,04,36.52874776,-67.60160809,0.776185047,non-cov,f,2.32,-3000.912109,0,2014
ct105-14f-13,2014-04-01 11:00,04,36.67467011,-67.32534648,0.579998899,non-cov,f,2.32,-3786.427002,0,2014
ct105-14f-13,2014-04-20 11:00,04,32.57925987,-68.14772646,0.143115434,non-cov,f,2.32,-527.8126831,0,2014
ct105-14f-13,2014-04-06 11:00,04,35.0887241,-67.77394159,0.787595343,non-cov,f,2.32,-3371.822021,0,2014
ct105-14f-13,2014-03-28 11:00,03,36.1320157,-67.13321767,0.480569872,non-cov,f,2.32,-3988.552002,0,2014
ct105-14f-13,2014-05-05 11:00,05,32.20697975,-67.87717049,0.240031049,non-cov,f,2.32,-733.4594116,0,2014
ct105-14f-13,2014-03-08 11:00,03,45.93515837,-65.57851422,0.909751187,non-cov,f,2.32,-3307.754883,0,2014
ct105-14f-13,2014-04-13 11:00,04,32.06530798,-68.01140974,0.220774923,non-cov,f,2.32,-680.258606,0,2014
ct105-14f-13,2014-03-17 11:00,03,38.65827989,-67.65144563,0.653477113,non-cov,f,2.32,-3670.979004,0,2014
ct105-14f-13,2014-05-07 11:00,05,32.25836394,-68.04529959,0.278933132,non-cov,f,2.32,-557.4459839,0,2014
ct105-14f-13,2014-04-30 11:00,04,32.18769528,-68.08235065,0.20509629,non-cov,f,2.32,-540.4733276,0,2014
ct105-14f-13,2014-03-29 11:00,03,36.12981382,-67.07010929,0.498130203,non-cov,f,2.32,-4237.36084,0,2014
ct105-14f-13,2014-05-09 11:00,05,31.78169292,-68.17797371,0.316646175,non-cov,f,2.32,-863.5040283,0,2014
ct105-14f-13,2014-04-02 11:00,04,36.68702254,-67.46075658,0.618323236,non-cov,f,2.32,-3742.23999,0,2014
ct105-14f-13,2014-04-10 11:00,04,31.04607843,-68.19718321,0.340000665,non-cov,f,2.32,-2722.075928,0,2014
ct105-14f-13,2014-03-14 11:00,03,38.69317691,-67.57521782,0.58594226,non-cov,f,2.32,-3102.403076,0,2014
ct105-14f-13,2014-03-13 11:00,03,39.00753338,-67.54791944,0.603219873,non-cov,f,2.32,-3046.944092,0,2014
ct105-14f-13,2014-04-14 11:00,04,32.22941257,-68.01369202,0.196707829,non-cov,f,2.32,-646.4658203,0,2014
ct105-14f-13,2014-04-21 11:00,04,32.34267048,-68.11135552,0.147696216,non-cov,f,2.32,-511.5710144,0,2014
ct105-14f-13,2014-03-25 11:00,03,32.62332805,-67.72401437,0.508537292,non-cov,f,2.32,-758.7269287,0,2014
ct105-14f-13,2014-03-24 11:00,03,33.06567253,-67.9692105,0.508118653,non-cov,f,2.32,-567.423584,0,2014
ct105-14f-13,2014-05-06 11:00,05,32.2834581,-67.94612123,0.260765033,non-cov,f,2.32,-627.1152954,0,2014
ct105-14f-13,2014-05-02 11:00,05,32.07122073,-68.18009652,0.20845792,non-cov,f,2.32,-512.3624878,0,2014
ct105-14f-13,2014-04-11 11:00,04,31.40091563,-68.11808302,0.314993188,non-cov,f,2.32,-1842.208008,0,2014
ct105-14f-13,2014-05-08 11:00,05,32.04403578,-68.03303586,0.300238898,non-cov,f,2.32,-683.0053711,0,2014
ct105-14f-13,2014-03-31 11:00,03,36.32319751,-67.05613691,0.562654112,non-cov,f,2.32,-4197.141113,0,2014
ct105-14f-13,2014-04-04 11:00,04,36.71158491,-67.44456808,0.729608521,non-cov,f,2.32,-3849.759033,0,2014
ct105-14f-13,2014-03-15 11:00,03,38.81430952,-67.6962128,0.586874585,non-cov,f,2.32,-3578.563965,0,2014
ct105-14f-13,2014-03-06 11:00,03,49.38987382,-64.75600596,0.935513971,non-cov,f,2.32,-3308.398926,0,2014
ct105-14f-13,2014-04-17 11:00,04,32.57280245,-68.07578285,0.142269132,non-cov,f,2.32,-523.010376,0,2014
ct105-14f-13,2014-05-03 11:00,05,31.986006,-68.16869936,0.216028609,non-cov,f,2.32,-559.0720825,0,2014
ct105-14f-13,2014-04-12 11:00,04,32.17411064,-68.0411829,0.249554471,non-cov,f,2.32,-609.7056885,0,2014
ct105-14f-13,2014-03-22 11:00,03,36.62010819,-67.9591125,0.79157714,non-cov,f,2.32,-2255.75708,0,2014
ct105-14f-13,2014-04-27 11:00,04,32.70239781,-68.12297277,0.179184022,non-cov,f,2.32,-531.5546265,0,2014
ct105-14f-13,2014-03-30 11:00,03,35.93126747,-66.96772696,0.510198742,non-cov,f,2.32,-4282.008789,0,2014
ct105-14f-13,2014-03-27 11:00,03,35.1571374,-67.43706547,0.601260276,non-cov,f,2.32,-3589.549072,0,2014
ct105-14f-13,2014-04-07 11:00,04,33.11558431,-67.9413371,0.642878195,non-cov,f,2.32,-591.1853027,0,2014
ct105-14f-13,2014-04-29 11:00,04,32.63341324,-68.03794212,0.200772156,non-cov,f,2.32,-531.2598877,0,2014
ct105-14f-13,2014-04-26 11:00,04,32.55461936,-68.17868938,0.168146305,non-cov,f,2.32,-505.1182861,0,2014
ct105-14f-13,2014-05-04 11:00,05,32.31889948,-67.95138853,0.22577719,non-cov,f,2.32,-612.8496704,0,2014
ct105-14f-13,2014-04-16 11:00,04,32.33060409,-68.04848929,0.153865325,non-cov,f,2.32,-532.013916,0,2014
ct105-14f-13,2014-04-18 11:00,04,32.12724288,-68.1633133,0.137083595,non-cov,f,2.32,-489.043396,0,2014
ct105-14f-13,2014-04-19 11:00,04,32.41651244,-68.14646979,0.14104963,non-cov,f,2.32,-512.9348145,0,2014
ct105-14f-13,2014-03-10 11:00,03,43.25046039,-66.60466334,0.872366791,non-cov,f,2.32,-3016.664063,0,2014
ct105-14f-13,2014-03-23 11:00,03,35.13446315,-68.11151336,0.752982732,non-cov,f,2.32,-1958.317017,0,2014
ct105-14f-13,2014-03-21 11:00,03,37.33900015,-68.06920027,0.772596497,non-cov,f,2.32,-2071.300049,0,2014
ct105-14f-13,2014-04-08 11:00,04,31.97370911,-68.13631486,0.504894842,non-cov,f,2.32,-631.0482788,0,2014
ct105-14f-13,2014-03-20 11:00,03,38.21819968,-68.12108214,0.7457212,non-cov,f,2.32,-2481.159912,0,2014
