Treatment,SPL,Site
Pre Lockdown,112.3122681,ST1RC
Pre Lockdown,104.9655378,ST1RC
Pre Lockdown,109.0174476,ST1RC
Pre Lockdown,103.4287488,ST1RC
Pre Lockdown,117.0914377,ST1RC
Pre Lockdown,117.8458755,ST1RC
Pre Lockdown,105.2716754,ST1RC
Pre Lockdown,114.8677297,ST1RC
Pre Lockdown,116.9929123,ST1RC
Pre Lockdown,108.6132767,ST1RC
Pre Lockdown,110.0556233,ST1RC
Pre Lockdown,103.8750742,ST1RC
Pre Lockdown,113.6957448,ST1RC
Pre Lockdown,115.6353645,ST1RC
Pre Lockdown,102.9847835,ST1RC
Pre Lockdown,107.3824688,ST1RC
Pre Lockdown,108.7994022,ST1RC
Pre Lockdown,115.2678839,ST1RC
Pre Lockdown,115.0910781,ST1RC
Pre Lockdown,120.5203986,ST1RC
Pre Lockdown,120.3802099,ST1RC
Pre Lockdown,111.6413849,ST1RC
Pre Lockdown,105.0225967,ST1RC
Pre Lockdown,119.7286232,ST1RC
Pre Lockdown,104.5745091,ST1RC
Pre Lockdown,105.2714658,ST1RC
Pre Lockdown,116.1683625,ST1RC
Pre Lockdown,105.026632,ST1RC
Pre Lockdown,111.6568888,ST1RC
Pre Lockdown,108.2697725,ST1RC
Pre Lockdown,118.5514603,ST1RC
Pre Lockdown,124.0740828,ST1RC
Pre Lockdown,129.4901753,ST1RC
Pre Lockdown,110.4119636,ST1RC
Pre Lockdown,125.9298628,ST1RC
Pre Lockdown,116.2889733,ST1RC
Pre Lockdown,104.995246,ST1RC
Pre Lockdown,104.9723675,ST1RC
Pre Lockdown,109.9710428,ST1RC
Pre Lockdown,104.0275677,ST1RC
Pre Lockdown,109.8628206,ST1RC
Pre Lockdown,115.8050002,ST1RC
Pre Lockdown,108.0248408,ST1RC
Pre Lockdown,121.8091447,ST1RC
Pre Lockdown,107.0287334,ST1RC
Pre Lockdown,121.2066458,ST1RC
Pre Lockdown,112.4205372,ST1RC
Pre Lockdown,131.4881651,ST1RC
Pre Lockdown,105.0087732,ST1RC
Pre Lockdown,115.892974,ST1RC
Pre Lockdown,103.3551593,ST1RC
Pre Lockdown,125.1939534,ST1RC
Pre Lockdown,111.3585137,ST1RC
Pre Lockdown,119.1299883,ST1RC
Pre Lockdown,105.0750881,ST1RC
Pre Lockdown,104.8225307,ST1RC
Pre Lockdown,119.6745936,ST1RC
Pre Lockdown,105.3364404,ST1RC
Pre Lockdown,109.9919964,ST1RC
