county_code,pre.pan,pan,est,error,t.stat,p.value,degrees.freedom,skewness,country_code,state_code,lat,lon,area_developed,area_undeveloped,delta_traffic,c_delta_traffic,confident
CA-AB-SI,-7.423,-23.409,-15.986,13.576,-1.178,0.247,36,2.351473808,CA,CA-AB,51.13891185,-114.1800359,1024484000,11852810000,-14.48913043,-0.432074752,no
CA-BC-CO,-25.538,-10.884,14.653,9.698,1.511,0.138,44,2.313167502,CA,CA-BC,49.937295,-119.4728851,195678000,2951353000,-14.13043478,-0.0733791,no
CA-BC-CP,53.526,27.747,-25.779,13.109,-1.966,0.057,34,2.075316396,CA,CA-BC,48.6372002,-123.740948,219421800,2175713100,-14.13043478,-0.0733791,no
CA-BC-FV,6.869,0.05,-6.819,7.946,-0.858,0.396,41,2.047687367,CA,CA-BC,49.50516875,-121.6646126,245820600,13494730000,-14.13043478,-0.0733791,no
CA-BC-GV,-26.307,-13.827,12.48,7.122,1.752,0.088,39,1.306124884,CA,CA-BC,49.2071738,-122.929071,824435100,2186228600,-14.13043478,-0.0733791,no
CA-MB-EL,-4.019,25.451,29.471,20.691,1.424,0.162,40,3.568750514,CA,CA-MB,49.85965085,-97.2035745,275305500,308889000,-12.83695652,1.220099161,no
CA-NB-WE,-0.359,-17.445,-17.087,5.703,-2.996,0.005,30,2.829738935,CA,CA-NB,45.9979545,-64.533378,165577500,3569253700,-12.65217391,1.40488177,yes
CA-ON-ES,0.04,-13.065,-13.105,7.77,-1.687,0.097,57,2.797672966,CA,CA-ON,42.0369955,-82.7818727,265328100,1973802000,-17.07608696,-3.019031274,no
CA-ON-HA,-31.944,-39.883,-7.939,7.035,-1.129,0.264,52,4.614930953,CA,CA-ON,43.258089,-79.93184165,223997400,920527200,-17.07608696,-3.019031274,no
CA-ON-MI,8.037,-9.626,-17.664,11.119,-1.589,0.119,47,1.612737064,CA,CA-ON,42.94334985,-81.3674992,303111900,3044660000,-17.07608696,-3.019031274,no
CA-ON-OT,25.791,22.177,-3.614,15.723,-0.23,0.819,45,2.565971128,CA,CA-ON,45.2458611,-75.81470815,412264800,2463464000,-17.07608696,-3.019031274,no
CA-ON-TO,-32.805,-14.285,18.52,9.192,2.015,0.049,58,2.641518715,CA,CA-ON,43.7166128,-79.3738146,493515900,162652500,-17.07608696,-3.019031274,yes
CA-ON-WT,-2.235,10.607,12.843,10,1.284,0.205,50,2.823751851,CA,CA-ON,43.46089765,-80.52078365,257646600,1127667000,-17.07608696,-3.019031274,no
CA-QC-MR,-37.488,-49.444,-11.956,7.562,-1.581,0.12,52,2.788600813,CA,CA-QC,45.5543445,-73.72330875,369158400,149873400,-17.23913043,-3.182074752,no
CA-QC-QU,-8.489,-22.423,-13.934,10.399,-1.34,0.188,38,3.611495482,CA,CA-QC,46.840188,-71.344032,212057100,348381000,-17.23913043,-3.182074752,no
