county_code,pre.pan,pan,est,error,t.stat,p.value,degrees.freedom,skewness,country_code,state_code,lat,lon,area_developed,area_undeveloped,delta_traffic,c_delta_traffic,confident
CA-AB-SI,-7.423,-23.409,-15.986,13.576,-1.178,0.247,36,2.3514738081798514,CA,CA-AB,51.13891185,-114.1800359,1024484000,11852810000,-14.48913043478261,-0.4320747520976358,no
CA-BC-CO,-25.538,-10.884,14.653,9.698,1.511,0.138,44,2.313167502497657,CA,CA-BC,49.937295,-119.4728851,195678000,2951353000,-14.130434782608695,-0.07337909992372182,no
CA-BC-CP,53.526,27.747,-25.779,13.109,-1.966,0.057,34,2.075316395736496,CA,CA-BC,48.6372002,-123.740948,219421800,2175713100,-14.130434782608695,-0.07337909992372182,no
CA-BC-FV,6.869,0.05,-6.819,7.946,-0.858,0.396,41,2.0476873670534608,CA,CA-BC,49.50516875,-121.6646126,245820600,13494730000,-14.130434782608695,-0.07337909992372182,no
CA-BC-GV,-26.307,-13.827,12.48,7.122,1.752,0.088,39,1.306124884353779,CA,CA-BC,49.2071738,-122.929071,824435100,2186228600,-14.130434782608695,-0.07337909992372182,no
CA-MB-EL,-4.019,25.451,29.471,20.691,1.424,0.162,40,3.5687505135345416,CA,CA-MB,49.85965085,-97.2035745,275305500,308889000,-12.83695652173913,1.2200991609458427,no
CA-NB-WE,-0.359,-17.445,-17.087,5.703,-2.996,0.005,30,2.8297389354540177,CA,CA-NB,45.9979545,-64.533378,165577500,3569253700,-12.652173913043478,1.404881769641495,yes
CA-ON-ES,0.04,-13.065,-13.105,7.77,-1.687,0.097,57,2.797672965709541,CA,CA-ON,42.0369955,-82.7818727,265328100,1973802000,-17.07608695652174,-3.019031273836765,no
CA-ON-HA,-31.944,-39.883,-7.939,7.035,-1.129,0.264,52,4.614930952986494,CA,CA-ON,43.258089,-79.93184165,223997400,920527200,-17.07608695652174,-3.019031273836765,no
CA-ON-MI,8.037,-9.626,-17.664,11.119,-1.589,0.119,47,1.6127370637247804,CA,CA-ON,42.94334985,-81.3674992,303111900,3044660000,-17.07608695652174,-3.019031273836765,no
CA-ON-OT,25.791,22.177,-3.614,15.723,-0.23,0.819,45,2.5659711280745077,CA,CA-ON,45.2458611,-75.81470815,412264800,2463464000,-17.07608695652174,-3.019031273836765,no
CA-ON-TO,-32.805,-14.285,18.52,9.192,2.015,0.049,58,2.6415187154939725,CA,CA-ON,43.7166128,-79.3738146,493515900,162652500,-17.07608695652174,-3.019031273836765,yes
CA-ON-WT,-2.235,10.607,12.843,10,1.284,0.205,50,2.82375185110251,CA,CA-ON,43.46089765,-80.52078365,257646600,1127667000,-17.07608695652174,-3.019031273836765,no
CA-QC-MR,-37.488,-49.444,-11.956,7.562,-1.581,0.12,52,2.788600812784895,CA,CA-QC,45.5543445,-73.72330875,369158400,149873400,-17.23913043478261,-3.182074752097636,no
CA-QC-QU,-8.489,-22.423,-13.934,10.399,-1.34,0.188,38,3.6114954820105196,CA,CA-QC,46.840188,-71.344032,212057100,348381000,-17.23913043478261,-3.182074752097636,no
CA-SK-EL,34.427,-12.035,-46.462,14.008,-3.317,0.002,36,1.5368356364051345,CA,CA-SK,51.7647055,-106.0598645,655488000,16741590000,-11.684782608695652,2.372273073989321,yes
CA-SK-SI,22.013,-6.66,-28.673,16.814,-1.705,0.097,35,2.577291839826406,CA,CA-SK,50.5602312,-104.443368,660534300,17374500000,-11.684782608695652,2.372273073989321,no
US-AK-020,-17.471,-5.846,11.625,17.138,0.678,0.506,18,1.8491211846763937,US,US-AK,61.1206649,-149.3333862,229350600,4239639100,-11.782608695652174,2.2744469870327997,no
US-AL-073,22.815,7.4,-15.415,10.413,-1.48,0.146,45,1.514062286287171,US,US-AL,33.5425862,-86.930274,860572800,2050954000,-11.619565217391305,2.437490465293669,no
US-AL-089,14.712,-4.947,-19.659,21.645,-0.908,0.368,53,2.892532495941846,US,US-AL,34.74872225,-86.57835025,482417100,1621291000,-12.934782608695652,1.1222730739893212,no
