Year,Covid,Counts,Park
2015,no,361,Trupchun_La_Spedla
2015,no,883,Champlönch
2015,no,920,Cluozza
2015,no,1072,Val_Mingèr
2015,no,1354,Stabelchod
2015,no,1558,Botsch
2015,no,2599,Trupchun_Purcher
2016,no,161,Margun_Grimmels
2016,no,243,Trupchun_La_Spedla
2016,no,689,Val_Mingèr
2016,no,690,Cluozza
2016,no,1059,Champlönch
2016,no,1088,Stabelchod
2016,no,1307,Botsch
2016,no,2638,Trupchun_Purcher
2017,no,327,Trupchun_La_Spedla
2017,no,332,Margun_Grimmels
2017,no,823,Val_Mingèr
2017,no,978,Cluozza
2017,no,1101,Stabelchod
2017,no,1280,Botsch
2017,no,1303,Champlönch
2017,no,2538,Trupchun_Purcher
2018,no,259,Margun_Grimmels
2018,no,375,Trupchun_La_Spedla
2018,no,730,Val_Mingèr
2018,no,796,Cluozza
2018,no,1147,Stabelchod
2018,no,1236,Champlönch
2018,no,1281,Botsch
2018,no,2784,Trupchun_Purcher
2019,no,406,Margun_Grimmels
2019,no,819,Val_Mingèr
2019,no,937,Cluozza
2019,no,1635,Champlönch
2019,no,1992,Trupchun_Purcher
2020,yes,415,Trupchun_La_Spedla
2020,yes,855,Margun_Grimmels
2020,yes,1493,Cluozza
2020,yes,1569,Val_Mingèr
2020,yes,2454,Stabelchod
2020,yes,2566,Botsch
2020,yes,2819,Champlönch
2020,yes,4131,Trupchun_Purcher
