sovereignt,n,lat,long
Albania,58,40.1271437931035,20.5438329310345
Algeria,14,23.3608814285714,9.17509571428571
Bulgaria,1930,41.6619721139896,25.5684662020725
Cameroon,94,11.3046578723404,14.5829991489362
Central African Republic,142,10.2642492253521,22.8067471126761
Chad,12481,13.173093604013,17.3325679154158
Djibouti,9,11.6136830647786,41.7324248419868
Egypt,1348,26.4391264566289,32.3327472178012
Eritrea,702,15.3428641865913,39.8695034924125
Ethiopia,35624,11.37777922186,40.784661178868
Greece,2821,36.5355898622142,24.542780708404
Iraq,2462,35.5238490224756,43.4243032469389
Israel,130,31.3268301991671,34.9948838559289
Jordan,513,31.53737963935,36.7819264328437
Lebanon,9,34.3244945979818,36.4658097398546
Libya,284,26.1155268850837,15.2934756606819
Niger,645,17.3988329136196,10.6364797947932
Nigeria,124,13.0948214516129,7.27088459677419
Saudi Arabia,7377,20.8166663446642,42.5293574173534
South Sudan,180,9.98141905555556,31.1055604444444
Sudan,8757,12.9629425763432,29.7968969808366
Syria,403,34.6146314167426,37.3227639804312
Turkey,1312,39.2957985879331,32.9793325338229
Yemen,303,13.3890494059406,43.7158321782178
