Date,English,date,tweets_per_day,Covid,week.day,day,mm
3/1/2020,226217,01/03/2020,17252,Before,7,1,3
3/2/2020,298946,02/03/2020,19403,Before,1,2,3
3/3/2020,341865,03/03/2020,22186,Before,2,3,3
3/4/2020,367863,04/03/2020,22925,Before,3,4,3
3/5/2020,397446,05/03/2020,25136,Before,4,5,3
3/6/2020,398976,06/03/2020,27193,Before,5,6,3
3/7/2020,368761,07/03/2020,22878,Before,6,7,3
3/8/2020,311860,08/03/2020,21147,Before,7,8,3
3/9/2020,471306,09/03/2020,27462,Before,1,9,3
3/10/2020,601972,10/03/2020,33062,Before,2,10,3
3/11/2020,721804,11/03/2020,39613,Before,3,11,3
3/12/2020,1344712,12/03/2020,71251,Before,4,12,3
3/13/2020,1434783,13/03/2020,84169,Before,5,13,3
3/14/2020,989969,14/03/2020,60197,Before,6,14,3
3/15/2020,871671,15/03/2020,53845,Before,7,15,3
3/16/2020,1101255,16/03/2020,68279,Before,1,16,3
3/17/2020,1200494,17/03/2020,76275,Before,2,17,3
3/18/2020,1197377,18/03/2020,79063,Before,3,18,3
3/19/2020,1198453,19/03/2020,82255,Before,4,19,3
3/20/2020,1192958,20/03/2020,90098,Before,5,20,3
3/21/2020,1018917,21/03/2020,71847,Before,6,21,3
3/22/2020,1005362,22/03/2020,75720,Before,7,22,3
3/23/2020,1142350,23/03/2020,80725,Before,1,23,3
3/24/2020,1162823,24/03/2020,89077,Before,2,24,3
3/25/2020,1102432,25/03/2020,89051,Before,3,25,3
3/26/2020,1091549,26/03/2020,88903,Before,4,26,3
3/27/2020,1136023,27/03/2020,88431,Before,5,27,3
3/28/2020,1142523,28/03/2020,86787,Before,6,28,3
3/29/2020,1044145,29/03/2020,79321,Before,7,29,3
3/30/2020,1277654,30/03/2020,90735,Before,1,30,3
3/31/2020,1292224,31/03/2020,100852,Before,2,31,3
4/1/2020,1169012,01/04/2020,85884,Before,3,32,4
4/2/2020,1141547,02/04/2020,89380,Before,4,33,4
4/3/2020,1090770,03/04/2020,84668,Before,5,34,4
4/4/2020,879793,04/04/2020,62897,Before,6,35,4
4/5/2020,852703,05/04/2020,64614,During,7,36,4
4/6/2020,1044351,06/04/2020,108719,During,1,37,4
4/7/2020,1031394,07/04/2020,82352,During,2,38,4
4/8/2020,1021393,08/04/2020,82587,During,3,39,4
4/9/2020,942683,09/04/2020,76467,During,4,40,4
4/10/2020,871594,10/04/2020,65508,During,5,41,4
4/11/2020,744221,11/04/2020,54311,During,6,42,4
4/12/2020,679530,12/04/2020,50343,During,7,43,4
4/13/2020,824288,13/04/2020,57669,During,1,44,4
4/14/2020,919961,14/04/2020,73972,During,2,45,4
4/15/2020,909539,15/04/2020,68242,During,3,46,4
4/16/2020,902871,16/04/2020,69221,During,4,47,4
4/17/2020,817270,17/04/2020,60503,During,5,48,4
4/18/2020,631380,18/04/2020,45011,During,6,49,4
4/19/2020,554565,19/04/2020,39739,During,7,50,4
4/20/2020,639305,20/04/2020,47999,During,1,51,4
4/21/2020,671279,21/04/2020,47831,During,2,52,4
4/22/2020,674427,22/04/2020,54357,During,3,53,4
4/23/2020,667304,23/04/2020,56910,During,4,54,4
4/24/2020,714964,24/04/2020,58016,During,5,55,4
4/25/2020,525982,25/04/2020,38234,During,6,56,4
4/26/2020,520169,26/04/2020,37992,During,7,57,4
4/27/2020,619993,27/04/2020,45229,During,1,58,4
4/28/2020,679763,28/04/2020,51831,During,2,59,4
4/29/2020,650252,29/04/2020,50259,During,3,60,4
4/30/2020,588178,30/04/2020,45478,During,4,61,4
,,,,,,,
